importance;featurename
0.17252;id
0.19346;location
0.02581;severity_type
0.00445;resource_type_1
0.00961;resource_type_2
;
0.00760;resource_type_4
;
0.00416;resource_type_6
;
0.00559;resource_type_8
;
0.00430;resource_type_10
;
;
;
;
;
;
;
;
;
;
0.00846;event_type_11
;
;
;
0.00674;event_type_15
;
;
;
0.00746;event_type_20
;
;
;
;
;
;
0.00430;event_type_27
;
;
;
;
;
;
;
0.01076;event_type_35
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
0.00975;event_type_54
0.16033;volume
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
0.00402;log_feature_44
;
;
;
;
;
;
;
;
;
;
0.00703;log_feature_55
;
;
;
;
;
;
;
;
;
;
;
;
0.01362;log_feature_68
;
0.00488;log_feature_70
0.01219;log_feature_71
;
0.01276;log_feature_73
;
;
;
;
;
;
0.00588;log_feature_80
0.00617;log_feature_81
;
;
;
;
0.00947;log_feature_86
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
0.00717;log_feature_155
;
0.00402;log_feature_157
;
;
;
;
;
;
;
;
;
;
;
;
0.01291;log_feature_170
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
0.01420;log_feature_193
;
;
;
;
;
;
0.00473;log_feature_200
0.00717;log_feature_201
0.00617;log_feature_202
0.01850;log_feature_203
;
;
;
;
;
0.00631;log_feature_209
;
;
;
;
;
;
;
;
;
;
;
;
0.00574;log_feature_222
0.00488;log_feature_223
;
;
;
0.00617;log_feature_227
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
0.00402;log_feature_273
;
;
;
0.00660;log_feature_277
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
0.00430;log_feature_312
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
0.00416;log_feature_345
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;